 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be10_Si.txt

 Ion = Beryllium [4] , Mass = 10.0135 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 MeV   1.184E-01  5.162E-05   14.24 mm   565.93 um   176.63 um  
 800.00 MeV   1.069E-01  4.569E-05   18.07 mm   785.57 um   222.59 um  
 900.00 MeV   9.783E-02  4.102E-05   22.28 mm   988.23 um   272.72 um  
   1.00 GeV   9.047E-02  3.725E-05   26.86 mm     1.18 mm   326.80 um  
   1.10 GeV   8.436E-02  3.413E-05   31.79 mm     1.38 mm   384.60 um  
   1.20 GeV   7.923E-02  3.152E-05   37.06 mm     1.57 mm   445.93 um  
   1.30 GeV   7.484E-02  2.929E-05   42.65 mm     1.76 mm   510.61 um  
   1.40 GeV   7.104E-02  2.736E-05   48.56 mm     1.95 mm   578.47 um  
   1.50 GeV   6.773E-02  2.568E-05   54.77 mm     2.14 mm   649.34 um  
   1.60 GeV   6.481E-02  2.420E-05   61.27 mm     2.34 mm   723.08 um  
   1.70 GeV   6.223E-02  2.289E-05   68.05 mm     2.53 mm   799.54 um  
   1.80 GeV   5.991E-02  2.172E-05   75.11 mm     2.72 mm   878.60 um  
   2.00 GeV   5.596E-02  1.971E-05   89.98 mm     3.45 mm     1.04 mm  
   2.25 GeV   5.197E-02  1.768E-05  109.95 mm     4.47 mm     1.26 mm  
   2.50 GeV   4.876E-02  1.605E-05  131.34 mm     5.40 mm     1.50 mm  
   2.75 GeV   4.613E-02  1.470E-05  154.05 mm     6.30 mm     1.74 mm  
   3.00 GeV   4.393E-02  1.356E-05  177.97 mm     7.16 mm     1.99 mm  
   3.25 GeV   4.206E-02  1.260E-05  203.02 mm     8.00 mm     2.25 mm  
   3.50 GeV   4.046E-02  1.176E-05  229.12 mm     8.82 mm     2.52 mm  
   3.75 GeV   3.908E-02  1.104E-05  256.20 mm     9.63 mm     2.80 mm  
   4.00 GeV   3.787E-02  1.040E-05  284.18 mm    10.42 mm     3.08 mm  
   4.50 GeV   3.587E-02  9.324E-06  342.62 mm    13.32 mm     3.66 mm  
   5.00 GeV   3.429E-02  8.457E-06  404.03 mm    15.92 mm     4.25 mm  
   5.50 GeV   3.301E-02  7.743E-06  468.05 mm    18.34 mm     4.86 mm  
   6.00 GeV   3.195E-02  7.143E-06  534.37 mm    20.62 mm     5.47 mm  
   6.50 GeV   3.108E-02  6.632E-06  602.72 mm    22.79 mm     6.09 mm  
   7.00 GeV   3.034E-02  6.191E-06  672.85 mm    24.88 mm     6.72 mm  
   8.00 GeV   2.918E-02  5.470E-06  817.63 mm    32.26 mm     7.98 mm  
   9.00 GeV   2.832E-02  4.903E-06  967.49 mm    38.63 mm     9.23 mm  
  10.00 GeV   2.767E-02  4.446E-06    1.12 m     44.37 mm    10.48 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  1.0807E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
