 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B8_Si.txt

 Ion = Boron [5] , Mass = 8.0246 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   2.416E-01  1.057E-04    3.98 mm   151.76 um    55.19 um  
 450.00 MeV   2.204E-01  9.501E-05    4.91 mm   201.86 um    67.73 um  
 500.00 MeV   2.030E-01  8.634E-05    5.93 mm   248.73 um    81.32 um  
 550.00 MeV   1.886E-01  7.917E-05    7.03 mm   294.22 um    95.93 um  
 600.00 MeV   1.765E-01  7.314E-05    8.21 mm   339.15 um   111.51 um  
 650.00 MeV   1.661E-01  6.800E-05    9.47 mm   383.91 um   128.03 um  
 700.00 MeV   1.571E-01  6.356E-05   10.80 mm   428.72 um   145.46 um  
 800.00 MeV   1.422E-01  5.627E-05   13.69 mm   593.45 um   182.90 um  
 900.00 MeV   1.305E-01  5.053E-05   16.85 mm   745.05 um   223.61 um  
   1.00 GeV   1.210E-01  4.589E-05   20.28 mm   891.02 um   267.37 um  
   1.10 GeV   1.131E-01  4.206E-05   23.96 mm     1.03 mm   313.98 um  
   1.20 GeV   1.065E-01  3.884E-05   27.88 mm     1.18 mm   363.27 um  
   1.30 GeV   1.008E-01  3.609E-05   32.04 mm     1.32 mm   415.06 um  
   1.40 GeV   9.595E-02  3.372E-05   36.42 mm     1.46 mm   469.21 um  
   1.50 GeV   9.170E-02  3.165E-05   41.01 mm     1.60 mm   525.58 um  
   1.60 GeV   8.796E-02  2.983E-05   45.80 mm     1.74 mm   584.03 um  
   1.70 GeV   8.465E-02  2.822E-05   50.80 mm     1.88 mm   644.44 um  
   1.80 GeV   8.170E-02  2.678E-05   55.97 mm     2.02 mm   706.69 um  
   2.00 GeV   7.665E-02  2.430E-05   66.86 mm     2.55 mm   836.35 um  
   2.25 GeV   7.159E-02  2.181E-05   81.40 mm     3.28 mm     1.01 mm  
   2.50 GeV   6.752E-02  1.979E-05   96.89 mm     3.95 mm     1.19 mm  
   2.75 GeV   6.419E-02  1.813E-05  113.24 mm     4.59 mm     1.37 mm  
   3.00 GeV   6.143E-02  1.673E-05  130.39 mm     5.20 mm     1.56 mm  
   3.25 GeV   5.909E-02  1.554E-05  148.26 mm     5.79 mm     1.76 mm  
   3.50 GeV   5.710E-02  1.451E-05  166.80 mm     6.36 mm     1.96 mm  
   3.75 GeV   5.538E-02  1.362E-05  185.95 mm     6.92 mm     2.17 mm  
   4.00 GeV   5.388E-02  1.283E-05  205.66 mm     7.47 mm     2.38 mm  
   4.50 GeV   5.142E-02  1.151E-05  246.58 mm     9.47 mm     2.80 mm  
   5.00 GeV   4.949E-02  1.044E-05  289.27 mm    11.24 mm     3.24 mm  
   5.50 GeV   4.795E-02  9.559E-06  333.48 mm    12.88 mm     3.67 mm  
   6.00 GeV   4.669E-02  8.819E-06  379.00 mm    14.41 mm     4.11 mm  
   6.50 GeV   4.566E-02  8.189E-06  425.65 mm    15.87 mm     4.55 mm  
   7.00 GeV   4.480E-02  7.645E-06  473.27 mm    17.25 mm     4.99 mm  
   8.00 GeV   4.347E-02  6.755E-06  570.88 mm    22.12 mm     5.87 mm  
   9.00 GeV   4.251E-02  6.056E-06  671.09 mm    26.30 mm     6.73 mm  
  10.00 GeV   4.181E-02  5.491E-06  773.26 mm    30.03 mm     7.58 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  1.0471E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
