 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na23.txt

 Ion = Sodium [11] , Mass = 22.9897 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   2.307E+00  1.064E-03  566.31 um    22.31 um     5.07 um  
 550.00 MeV   2.152E+00  9.770E-04  662.97 um    26.20 um     5.84 um  
 600.00 MeV   2.019E+00  9.035E-04  766.28 um    30.05 um     6.65 um  
 650.00 MeV   1.903E+00  8.407E-04  876.16 um    33.87 um     7.52 um  
 700.00 MeV   1.799E+00  7.864E-04  992.58 um    37.71 um     8.43 um  
 800.00 MeV   1.620E+00  6.972E-04    1.24 mm    52.02 um    10.39 um  
 900.00 MeV   1.477E+00  6.269E-04    1.52 mm    65.35 um    12.53 um  
   1.00 GeV   1.360E+00  5.699E-04    1.83 mm    78.32 um    14.86 um  
   1.10 GeV   1.263E+00  5.229E-04    2.16 mm    91.18 um    17.36 um  
   1.20 GeV   1.180E+00  4.832E-04    2.51 mm   104.06 um    20.03 um  
   1.30 GeV   1.109E+00  4.494E-04    2.89 mm   117.02 um    22.86 um  
   1.40 GeV   1.047E+00  4.202E-04    3.29 mm   130.10 um    25.86 um  
   1.50 GeV   9.932E-01  3.947E-04    3.71 mm   143.30 um    29.01 um  
   1.60 GeV   9.454E-01  3.722E-04    4.15 mm   156.63 um    32.31 um  
   1.70 GeV   9.027E-01  3.523E-04    4.62 mm   170.11 um    35.77 um  
   1.80 GeV   8.644E-01  3.344E-04    5.11 mm   183.73 um    39.37 um  
   2.00 GeV   7.985E-01  3.038E-04    6.14 mm   235.43 um    47.00 um  
   2.25 GeV   7.316E-01  2.729E-04    7.55 mm   308.88 um    57.29 um  
   2.50 GeV   6.773E-01  2.479E-04    9.08 mm   377.56 um    68.37 um  
   2.75 GeV   6.323E-01  2.273E-04   10.73 mm   444.00 um    80.21 um  
   3.00 GeV   5.943E-01  2.099E-04   12.48 mm   509.27 um    92.76 um  
   3.25 GeV   5.619E-01  1.951E-04   14.35 mm   573.93 um   105.99 um  
   3.50 GeV   5.339E-01  1.823E-04   16.31 mm   638.27 um   119.84 um  
   3.75 GeV   5.095E-01  1.712E-04   18.38 mm   702.45 um   134.30 um  
   4.00 GeV   4.880E-01  1.614E-04   20.54 mm   766.58 um   149.34 um  
   4.50 GeV   4.519E-01  1.448E-04   25.13 mm     1.01 mm   181.01 um  
   5.00 GeV   4.227E-01  1.315E-04   30.06 mm     1.22 mm   214.63 um  
   5.50 GeV   3.987E-01  1.205E-04   35.30 mm     1.43 mm   250.02 um  
   6.00 GeV   3.786E-01  1.112E-04   40.85 mm     1.63 mm   286.99 um  
   6.50 GeV   3.616E-01  1.034E-04   46.67 mm     1.83 mm   325.39 um  
   7.00 GeV   3.470E-01  9.655E-05   52.75 mm     2.02 mm   365.07 um  
   8.00 GeV   3.232E-01  8.539E-05   65.62 mm     2.72 mm   447.84 um  
   9.00 GeV   3.047E-01  7.661E-05   79.35 mm     3.35 mm   534.39 um  
  10.00 GeV   2.900E-01  6.952E-05   93.84 mm     3.93 mm   623.98 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.6076E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
