 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F15_Si.txt

 Ion = Fluorine [9] , Mass = 15.018 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.80 GeV   4.129E-01  1.514E-04   10.71 mm   388.32 um   100.10 um  
   2.00 GeV   3.831E-01  1.375E-04   12.88 mm   495.56 um   119.52 um  
   2.25 GeV   3.529E-01  1.235E-04   15.81 mm   647.05 um   145.56 um  
   2.50 GeV   3.285E-01  1.122E-04   18.97 mm   787.80 um   173.39 um  
   2.75 GeV   3.083E-01  1.028E-04   22.35 mm   922.97 um   202.88 um  
   3.00 GeV   2.914E-01  9.491E-05   25.95 mm     1.05 mm   233.90 um  
   3.25 GeV   2.771E-01  8.819E-05   29.74 mm     1.18 mm   266.33 um  
   3.50 GeV   2.647E-01  8.240E-05   33.71 mm     1.31 mm   300.05 um  
   3.75 GeV   2.539E-01  7.734E-05   37.87 mm     1.44 mm   334.98 um  
   4.00 GeV   2.444E-01  7.289E-05   42.19 mm     1.57 mm   371.02 um  
   4.50 GeV   2.286E-01  6.541E-05   51.30 mm     2.03 mm   446.13 um  
   5.00 GeV   2.160E-01  5.937E-05   60.99 mm     2.45 mm   524.74 um  
   5.50 GeV   2.056E-01  5.439E-05   71.22 mm     2.85 mm   606.34 um  
   6.00 GeV   1.970E-01  5.020E-05   81.92 mm     3.23 mm   690.48 um  
   6.50 GeV   1.898E-01  4.663E-05   93.05 mm     3.60 mm   776.77 um  
   7.00 GeV   1.836E-01  4.355E-05  104.59 mm     3.95 mm   864.87 um  
   8.00 GeV   1.737E-01  3.851E-05  128.71 mm     5.23 mm     1.05 mm  
   9.00 GeV   1.661E-01  3.454E-05  154.07 mm     6.34 mm     1.23 mm  
  10.00 GeV   1.602E-01  3.133E-05  180.48 mm     7.37 mm     1.42 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  3.9970E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
